Data,Non indicizzate,Indicizzate,Impressioni
2026-04-19,,,0
2026-04-20,82,2,0
2026-04-21,73,2,2
2026-04-22,73,2,0
2026-04-23,73,2,0
2026-04-24,73,2,0
2026-04-25,73,2,0
2026-04-26,73,2,0
2026-04-27,73,2,0
2026-04-28,72,2,0
2026-04-29,72,2,0
2026-04-30,72,2,0
2026-05-01,72,2,0
2026-05-02,67,2,2
2026-05-03,67,2,0
2026-05-04,67,2,0
2026-05-05,65,2,0
2026-05-06,65,2,0
2026-05-07,65,2,0
2026-05-08,65,2,2
2026-05-09,65,2,0
2026-05-10,65,2,0
2026-05-11,65,2,0
2026-05-12,65,3,1
2026-05-13,65,3,0
2026-05-14,65,3,0
2026-05-15,65,3,0
2026-05-16,66,3,0
2026-05-17,66,3,1
2026-05-18,66,3,0
2026-05-19,65,3,1
2026-05-20,65,3,0
2026-05-21,65,3,0
2026-05-22,65,3,0
2026-05-23,179,43,0
2026-05-24,179,43,0
2026-05-25,179,43,2
2026-05-26,179,42,2
2026-05-27,179,42,1
2026-05-28,179,42,0
2026-05-29,179,42,0
2026-05-30,85,42,0
2026-05-31,85,42,0
2026-06-01,85,42,0
2026-06-02,84,42,1
2026-06-03,84,42,0
2026-06-04,84,42,0
2026-06-05,84,42,1
2026-06-06,90,36,0
2026-06-07,90,36,3
2026-06-08,90,36,0
2026-06-09,99,27,0
2026-06-10,99,27,0
2026-06-11,99,27,0
2026-06-12,99,27,0
2026-06-13,100,25,1
2026-06-14,100,25,0
2026-06-15,100,25,0
2026-06-16,100,25,0
2026-06-17,100,25,0
2026-06-18,100,25,0
2026-06-19,100,25,0
2026-06-20,100,25,0
2026-06-21,100,25,0
2026-06-22,100,25,0
2026-06-23,100,25,0
2026-06-24,100,25,1
2026-06-25,100,25,0
2026-06-26,100,25,0
2026-06-27,100,25,0
2026-06-28,100,25,0
2026-06-29,100,25,0
2026-06-30,100,25,0
2026-07-01,99,22,0
2026-07-02,99,22,0
2026-07-03,99,22,0
2026-07-04,99,22,0
2026-07-05,99,22,0
2026-07-06,99,22,0
2026-07-07,99,22,0
2026-07-08,99,22,0
2026-07-09,99,22,0
2026-07-10,99,22,0
